Selezione,,,Valigia,,,,Missing from list
Work,TRUE,,,badge,Ok,,cuffie grandi
Vestiti,TRUE,,,chiavetta di sicurezza,-,,visti
Travel bag,TRUE,,,macbook + ricarica,-,,quaderno appunti
Toilette,TRUE,,,borsetta,No,,
Tempo libero,FALSE,,,calze,Ok,,
Sport - V̩lo,FALSE,,,cappello,No,,
Sport - Triathlon (add-on),FALSE,,,giacca,No,,
Sport - Ski rando,FALSE,,,guanti,No,,
Sport - Ski de piste,FALSE,,,magliette / canottiere,Ok,,
Sport - Run,FALSE,,,maglioncini / felpe,Ok,,
Sport - Pool Swim,FALSE,,,mutande,Ok,,
Sport - Open Water,FALSE,,,ombrello,No,,
Sport - Hicking,FALSE,,,pantaloni corti,No,,
Sport - Gym,TRUE,,,pantaloni lunghi,Ok,,
Spiaggia,FALSE,,,reggiseni,Ok,,
SPA,TRUE,,,scarpe,Ok,,
Night,TRUE,,,sciarpa,No,,
Long travel extra,TRUE,,,acqua,No,,
Elettronica,TRUE,,,adattatore prese elettriche,Ok,,
Accessori,TRUE,,,cash,Ok,,
,,,,fazzoletti,Ok,,
,,,,gel disinfettante,Ok,,
,,,,mascherine covid,Ok,,
,,,,passaporto / documenti,Ok,,
,,,,"portafoglio (cb, carte vitale, etc)",Ok,,
,,,,assorbenti,Ok,,
,,,,balsamo,Ok,,
,,,,burrocacao,No,,
,,,,crema corpo,No,,
,,,,crema piedi,No,,
,,,,crema ricci,Ok,,
,,,,crema viso,Ok,,
,,,,dentifricio,Ok,,
,,,,deodorante,Ok,,
,,,,dischi di cotone,No,,
,,,,elastici e pinzette capelli,Ok,,
,,,,forbici unghie,No,,
,,,,medicine (varie ed eventuali),Ok,,
,,,,phon,No,,
,,,,pinzette,No,,
,,,,profumo,No,,
,,,,shampoo,Ok,,
,,,,spazzola doccia,Ok,,
,,,,spazzola normale,No,,
,,,,spazzola tonda,No,,
,,,,spazzolino,Ok,,
,,,,strisce depilatorie,No,,
,,,,struccante,No,,
,,,,tagliaunghie,No,,
,,,,trucchi,No,,
,,,,calze sport,Ok,,
,,,,canottiere / magliette sport,Ok,,
,,,,elastici,No,,
,,,,mutande sport,Ok,,
,,,,pantaloni sport,Ok,,
,,,,reggiseni sport,Ok,,
,,,,scarpe sport,Ok,,
,,,,bikini,Ok,,
,,,,infradito,Ok,,
,,,,"kit doccia: shampoo, balsamo, ricci, spazzola",No,,
,,,,ciabatte da casa,No,,
,,,,mascherina per dormire,No,,
,,,,pigiama,Ok,,
,,,,tappi orecchie,Ok,,
,,,,calze compressione,Ok,,
,,,,cambio vestiti atterraggio,Ok,,
,,,,melatonina,Ok,,
,,,,vestiti viaggio comodi,Ok,,
,,,,airpods + ricarica,-,,
,,,,iphone + ricarica,-,,
,,,,mouse,No,,
,,,,anelli,No,,
,,,,braccialetti,No,,
,,,,cintura,No,,
,,,,collane,No,,
,,,,orologi,No,,